,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
9608,None,275.5,0.0,0.0,40,Clouds,scattered clouds,10/21/2013 18:00,4463,high
43887,None,302.07,0.0,0.0,40,Clouds,scattered clouds,5/7/2018 16:00,6663,very high
44639,None,291.35,0.0,0.0,90,Rain,light rain,6/2/2018 21:00,2905,low
9980,None,279.55,0.0,0.0,64,Clouds,broken clouds,11/19/2013 13:00,4855,high
30307,None,275.08,0.0,0.0,90,Mist,mist,1/21/2017 2:00,530,very low
14907,None,290.45,0.0,0.0,1,Clear,sky is clear,6/5/2014 5:00,3054,medium
6914,None,290.99,0.25,0.0,12,Mist,mist,6/12/2013 9:00,4962,high
4899,None,279.11,0.0,0.0,75,Rain,moderate rain,4/8/2013 22:00,1454,very low
5614,None,285.43,0.0,0.0,75,Clouds,broken clouds,4/30/2013 2:00,275,very low
11334,None,264.63,0.0,0.0,64,Clouds,broken clouds,1/9/2014 13:00,4839,high
30122,None,272.08,0.0,0.0,90,Mist,mist,1/17/2017 1:00,307,very low
24609,None,285.64,0.0,0.0,1,Clear,sky is clear,7/2/2016 3:00,373,very low
644,None,278.93,0.0,0.0,90,Mist,mist,10/26/2012 4:00,705,very low
41004,None,279.75,0.0,0.0,1,Clear,sky is clear,1/26/2018 16:00,6561,very high
17377,None,299.53,0.0,0.0,1,Clear,sky is clear,8/14/2015 21:00,2929,medium
38842,None,279.01,0.0,0.0,5,Clear,sky is clear,11/11/2017 14:00,4858,high
28436,None,273.9,0.0,0.0,90,Snow,light snow,11/24/2016 22:00,1752,low
14556,None,283.02,0.0,0.0,0,Clear,Sky is Clear,5/22/2014 7:00,6547,very high
41604,None,278.55,0.0,0.0,90,Clouds,overcast clouds,2/18/2018 17:00,4136,medium
34823,None,286.35,0.0,0.0,90,Mist,mist,6/25/2017 10:00,4178,medium
9046,None,291.14,0.0,0.0,1,Clear,sky is clear,9/19/2013 22:00,2069,low
38244,None,289.22,0.0,0.0,20,Clouds,few clouds,10/22/2017 14:00,4445,high
46052,None,297.08,0.0,0.0,75,Clouds,broken clouds,7/21/2018 12:00,4505,high
19409,None,283.88,0.0,0.0,75,Clouds,broken clouds,11/10/2015 22:00,3119,medium
12770,None,270.27,0.0,0.0,20,Clouds,few clouds,3/8/2014 13:00,4821,high
7793,None,301.26,0.0,0.0,8,Clear,sky is clear,7/19/2013 23:00,2076,low
1395,None,286.67,0.0,0.0,20,Clouds,few clouds,11/23/2012 1:00,482,very low
41075,None,262.22,0.0,0.0,1,Clear,sky is clear,1/29/2018 14:00,5030,high
40327,None,255.72,0.0,0.0,5,Clear,sky is clear,1/3/2018 19:00,3144,medium
41964,None,272.09,0.0,0.0,1,Clear,sky is clear,3/1/2018 21:00,2981,medium
43067,None,267.55,0.0,0.0,75,Mist,mist,4/9/2018 7:00,6110,very high
7899,None,290.64,0.0,0.0,56,Clouds,broken clouds,7/24/2013 9:00,5343,high
26224,None,287.9,0.0,0.0,1,Clear,sky is clear,9/1/2016 0:00,11,very low
922,None,280.56,0.0,0.0,46,Clear,sky is clear,11/5/2012 22:00,1454,very low
35044,None,296.82,0.0,0.0,1,Clear,sky is clear,7/3/2017 11:00,3897,medium
43216,None,272.62,0.0,0.0,90,Snow,light snow,4/14/2018 1:00,441,very low
8255,None,299.02,0.0,0.0,80,Clouds,broken clouds,8/7/2013 14:00,5690,high
37370,None,306.28,0.0,0.0,40,Clouds,scattered clouds,9/22/2017 16:00,6103,very high
6823,None,293.25,0.0,0.0,64,Clouds,broken clouds,6/9/2013 13:00,4112,medium
29576,None,272.78,0.0,0.0,1,Clear,sky is clear,12/28/2016 22:00,2231,low
45218,None,288.95,0.0,0.0,1,Clear,sky is clear,6/22/2018 6:00,5460,high
35475,None,292.53,0.0,0.0,20,Haze,haze,7/19/2017 8:00,5899,very high
43565,None,279.08,0.0,0.0,1,Clear,sky is clear,4/25/2018 1:00,310,very low
14506,None,287.49,0.38,0.0,92,Rain,light rain,5/20/2014 10:00,4614,high
13731,None,277.77,1.3,0.0,40,Rain,moderate rain,4/17/2014 16:00,6482,very high
3551,None,270.92,0.0,0.0,90,Snow,heavy snow,2/12/2013 4:00,782,very low
26922,None,285.13,0.0,0.0,12,Clouds,few clouds,9/27/2016 10:00,3968,medium
43497,None,273.51,0.0,0.0,1,Mist,mist,4/22/2018 5:00,563,very low
13158,None,271.05,0.25,0.0,75,Rain,light rain,3/24/2014 18:00,4022,medium
7281,None,302.59,0.0,0.0,0,Clear,Sky is Clear,6/28/2013 16:00,6277,very high
39616,None,270.79,0.0,0.0,90,Snow,light snow,12/9/2017 1:00,826,very low
40215,None,247.29,0.0,0.0,5,Clear,sky is clear,12/30/2017 8:00,1681,low
25504,None,289.17,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 6:00,4950,high
39601,None,270.29,0.0,0.0,90,Clouds,overcast clouds,12/8/2017 12:00,5299,high
43156,None,280.93,0.0,0.0,90,Clouds,overcast clouds,4/12/2018 14:00,5574,high
43258,None,269.79,0.0,0.0,90,Fog,fog,4/14/2018 15:00,1881,low
27793,None,279.41,0.0,0.0,1,Fog,fog,11/3/2016 8:00,5865,very high
29540,None,266.15,0.0,0.0,90,Snow,light snow,12/27/2016 10:00,3865,medium
10143,None,263.92,0.0,0.0,64,Clouds,broken clouds,11/26/2013 8:00,6051,very high
31927,None,270.22,0.0,0.0,1,Clear,sky is clear,3/21/2017 22:00,3887,medium
45822,None,297.9,0.0,0.0,1,Clear,sky is clear,7/13/2018 21:00,3064,medium
28167,None,281.96,0.0,0.0,1,Rain,light rain,11/17/2016 23:00,1267,very low
43638,None,275.95,0.0,0.0,75,Clouds,broken clouds,4/28/2018 2:00,531,very low
42661,None,274.08,0.0,0.0,90,Rain,light rain,3/26/2018 22:00,1413,very low
4449,None,257.54,0.0,0.0,1,Clear,sky is clear,3/22/2013 6:00,5183,high
666,None,275.02,0.0,0.0,90,Snow,heavy snow,10/26/2012 10:00,4695,high
42547,None,277.22,0.0,0.0,90,Clouds,overcast clouds,3/22/2018 14:00,5386,high
19136,None,287.45,0.0,0.0,1,Haze,haze,10/22/2015 12:00,5130,high
3705,None,262.21,0.0,0.0,75,Clouds,broken clouds,2/18/2013 8:00,4718,high
41436,None,259.88,0.0,0.0,1,Clear,sky is clear,2/12/2018 0:00,502,very low
11192,None,264.94,0.0,0.0,64,Snow,light snow,1/3/2014 15:00,5463,high
32519,None,281.16,0.0,0.0,90,Clouds,overcast clouds,4/10/2017 6:00,5394,high
34371,None,288.75,0.0,0.0,1,Clear,sky is clear,6/9/2017 6:00,5376,high
1784,None,274.77,0.0,0.0,90,Clouds,overcast clouds,12/7/2012 19:00,3231,medium
19043,None,280.23,0.0,0.0,1,Clear,sky is clear,10/16/2015 13:00,5307,high
21360,None,270.55,0.0,0.0,90,Clouds,overcast clouds,2/17/2016 21:00,2503,low
16771,None,300.09,0.0,0.0,40,Clouds,scattered clouds,7/22/2015 14:00,5367,high
23212,None,284.79,0.0,0.0,90,Mist,mist,5/10/2016 13:00,4983,high
46786,None,300.48,0.0,0.0,1,Clear,sky is clear,8/17/2018 19:00,3703,medium
35267,None,297.29,0.0,0.0,1,Clear,sky is clear,7/12/2017 0:00,704,very low
39125,None,280.28,0.0,0.0,75,Clouds,broken clouds,11/20/2017 17:00,6013,very high
40919,None,261.88,0.0,0.0,1,Haze,haze,1/24/2018 2:00,235,very low
7800,None,297.56,0.0,0.0,0,Clear,Sky is Clear,7/20/2013 6:00,1581,low
28595,None,282.82,0.0,0.0,90,Rain,moderate rain,11/28/2016 12:00,3956,medium
22622,None,285.94,0.0,0.0,90,Drizzle,light intensity drizzle,4/20/2016 23:00,2910,low
36957,None,284.07,0.0,0.0,1,Clear,sky is clear,9/6/2017 23:00,1117,very low
25067,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/19/2016 17:00,5525,high
26209,None,290.45,0.0,0.0,1,Clear,sky is clear,8/31/2016 9:00,4368,high
24580,None,291.05,0.0,0.0,20,Clouds,few clouds,6/30/2016 22:00,2533,low
5817,None,291.51,0.0,0.0,90,Clouds,overcast clouds,5/6/2013 18:00,4286,medium
42840,None,265.99,0.0,0.0,1,Clear,sky is clear,4/2/2018 6:00,5147,high
18146,None,287.96,0.0,0.0,90,Drizzle,light intensity drizzle,9/10/2015 8:00,6222,very high
8532,None,293.25,0.0,0.0,36,Clouds,scattered clouds,8/20/2013 4:00,777,very low
34611,None,298.22,0.0,0.0,90,Rain,light rain,6/17/2017 18:00,4210,medium
26654,None,289.49,0.0,0.0,40,Fog,fog,9/16/2016 3:00,358,very low
19661,None,275.94,0.0,0.0,1,Clear,sky is clear,11/24/2015 22:00,1884,low
35038,None,286.89,0.0,0.0,1,Mist,mist,7/3/2017 5:00,1788,low
34847,None,287.15,0.0,0.0,5,Clear,sky is clear,6/26/2017 9:00,4458,high
6750,None,286.98,0.76,0.0,24,Mist,mist,6/6/2013 19:00,3557,medium
1177,None,264.61,0.0,0.0,1,Clear,sky is clear,11/14/2012 4:00,795,very low
14840,None,291.12,0.68,0.0,92,Rain,moderate rain,6/2/2014 6:00,5409,high
23244,None,285.06,0.59,0.0,90,Mist,mist,5/11/2016 13:00,4966,high
43295,None,268.08,0.0,0.0,90,Mist,mist,4/15/2018 4:00,175,very low
121,None,278.11,0.0,0.0,90,Clouds,overcast clouds,10/7/2012 19:00,3382,medium
39807,None,271.08,0.0,0.0,40,Snow,light snow,12/16/2017 1:00,817,very low
1947,None,262.9,0.0,0.0,16,Clouds,few clouds,12/12/2012 11:00,4583,high
4548,None,267.96,0.0,0.0,1,Clear,sky is clear,3/26/2013 7:00,6784,very high
10698,None,254.11,0.0,0.0,64,Clouds,broken clouds,12/15/2013 10:00,3851,medium
25953,None,298.79,0.0,0.0,1,Clear,sky is clear,8/23/2016 18:00,4242,medium
12046,None,249.0,0.0,0.0,1,Clear,sky is clear,2/6/2014 7:00,5707,high
18643,None,292.24,2.79,0.0,1,Thunderstorm,thunderstorm,9/28/2015 10:00,4494,high
11353,None,266.81,0.0,0.0,64,Mist,mist,1/10/2014 6:00,5266,high
5892,None,292.43,0.0,0.0,90,Rain,light rain,5/9/2013 18:00,4673,high
19820,None,271.0,0.0,0.0,1,Clear,sky is clear,12/4/2015 10:00,4687,high
27299,None,271.178,0.0,0.0,0,Clear,Sky is Clear,10/13/2016 4:00,790,very low
45313,None,300.01,0.0,0.0,75,Clouds,broken clouds,6/25/2018 18:00,4086,medium
2112,None,273.67,0.0,0.0,90,Mist,mist,12/16/2012 22:00,1476,low
38719,None,269.95,0.0,0.0,1,Clear,sky is clear,11/6/2017 10:00,4298,medium
3079,None,255.2,0.0,0.0,75,Clouds,broken clouds,1/21/2013 4:00,667,very low
29082,None,258.71,0.0,0.0,75,Snow,light snow,12/12/2016 19:00,2780,low
8921,None,284.89,0.0,0.0,1,Clear,sky is clear,9/13/2013 22:00,2756,low
39688,None,274.48,0.0,0.0,90,Mist,mist,12/11/2017 12:00,4452,high
12940,None,271.97,0.0,0.0,90,Clouds,overcast clouds,3/15/2014 16:00,4548,high
4039,None,270.22,0.0,0.0,1,Clear,sky is clear,3/3/2013 13:00,4173,medium
27067,None,289.11,0.0,0.0,0,Clear,Sky is Clear,10/3/2016 10:00,4041,medium
303,None,281.02,0.0,0.0,85,Mist,mist,10/15/2012 4:00,810,very low
30418,None,274.08,0.0,0.0,90,Mist,mist,1/23/2017 7:00,5909,very high
35698,None,295.08,0.0,0.0,90,Rain,light rain,7/26/2017 9:00,5034,high
8327,None,293.77,0.0,0.0,0,Clear,Sky is Clear,8/10/2013 20:00,3333,medium
12818,None,282.15,0.0,0.0,1,Clear,sky is clear,3/10/2014 14:00,5045,high
32311,None,281.48,0.0,0.0,90,Mist,mist,4/3/2017 4:00,812,very low
12554,None,248.15,0.0,0.0,20,Clouds,few clouds,2/27/2014 8:00,5198,high
39496,None,273.09,0.0,0.0,90,Fog,fog,12/4/2017 22:00,1653,low
5149,None,273.25,0.0,0.0,90,Snow,heavy snow,4/15/2013 13:00,4880,high
9640,None,276.8,0.0,0.0,90,Clouds,overcast clouds,10/24/2013 20:00,3457,medium
22933,None,284.82,0.0,0.0,90,Clouds,overcast clouds,4/30/2016 11:00,4924,high
44141,None,298.29,0.0,0.0,5,Clear,sky is clear,5/16/2018 11:00,5110,high
38597,None,275.75,0.0,0.0,90,Clouds,overcast clouds,11/2/2017 20:00,2846,low
13277,None,279.12,0.0,0.0,20,Clouds,few clouds,3/29/2014 17:00,4665,high
2018,None,264.65,0.0,0.0,75,Mist,mist,12/15/2012 7:00,1616,low
26522,None,286.03,0.0,0.0,1,Mist,mist,9/11/2016 4:00,578,very low
38593,None,276.89,0.0,0.0,90,Clouds,overcast clouds,11/2/2017 16:00,6775,very high
37678,None,290.53,0.0,0.0,90,Thunderstorm,proximity thunderstorm,10/3/2017 1:00,332,very low
42782,None,273.0,0.0,0.0,90,Mist,mist,3/31/2018 4:00,352,very low
16324,None,293.35,2.15,0.0,90,Drizzle,light intensity drizzle,7/6/2015 11:00,3998,medium
5423,None,275.38,0.0,0.0,75,Clouds,broken clouds,4/23/2013 8:00,5022,high
26288,None,295.24,0.0,0.0,1,Clear,sky is clear,9/3/2016 19:00,2744,low
46640,None,292.43,0.0,0.0,1,Mist,mist,8/12/2018 2:00,678,very low
18895,None,285.62,0.0,0.0,90,Clouds,overcast clouds,10/9/2015 13:00,5109,high
39681,None,271.75,0.0,0.0,90,Mist,mist,12/11/2017 8:00,4349,medium
47317,None,295.53,0.25,0.0,1,Rain,light rain,9/2/2018 13:00,4414,high
30807,None,268.82,0.0,0.0,75,Clouds,broken clouds,2/6/2017 11:00,4256,medium
18208,None,292.21,0.0,0.0,1,Clear,sky is clear,9/12/2015 14:00,2696,low
6906,None,286.91,0.0,0.0,12,Fog,fog,6/12/2013 4:00,789,very low
32566,None,273.46,0.0,0.0,90,Mist,mist,4/11/2017 3:00,331,very low
13915,None,278.56,0.25,0.0,1,Rain,light rain,4/25/2014 8:00,6033,very high
47474,None,284.29,2.79,0.0,1,Rain,moderate rain,9/6/2018 4:00,909,very low
17565,None,287.96,0.6,0.0,90,Rain,moderate rain,8/19/2015 20:00,3012,medium
21554,None,270.16,0.0,0.0,90,Clouds,overcast clouds,2/29/2016 8:00,5772,high
9737,None,277.1,0.0,0.0,64,Clouds,broken clouds,11/9/2013 17:00,4184,medium
7129,None,293.51,6.94,0.0,90,Rain,heavy intensity rain,6/22/2013 4:00,400,very low
25864,None,289.73,0.0,0.0,92,Rain,moderate rain,8/20/2016 6:00,1206,very low
46297,None,292.93,0.0,0.0,1,Clear,sky is clear,7/30/2018 22:00,1742,low
38873,None,271.29,0.0,0.0,5,Clear,sky is clear,11/12/2017 19:00,3170,medium
14951,None,300.22,0.0,0.0,75,Thunderstorm,proximity thunderstorm,6/6/2014 18:00,4986,high
38325,None,281.53,0.0,0.0,1,Haze,haze,10/25/2017 23:00,1416,very low
35065,None,293.42,0.0,0.0,1,Clear,sky is clear,7/4/2017 8:00,1333,very low
21726,None,283.35,0.0,0.0,1,Clear,sky is clear,3/12/2016 2:00,652,very low
3871,None,263.42,0.0,0.0,40,Haze,haze,2/25/2013 1:00,260,very low
5192,None,275.34,0.0,0.0,75,Clouds,broken clouds,4/16/2013 21:00,2473,low
21874,None,276.03,0.0,0.0,90,Clouds,overcast clouds,3/17/2016 17:00,6253,very high
47778,None,287.93,2.16,0.0,90,Thunderstorm,thunderstorm,9/18/2018 1:00,351,very low
171,None,283.46,0.0,0.0,90,Clouds,overcast clouds,10/9/2012 22:00,1846,low
9326,None,283.29,0.0,0.0,90,Drizzle,heavy intensity drizzle,10/6/2013 16:00,5375,high
26810,None,289.57,0.0,0.0,92,Rain,moderate rain,9/22/2016 18:00,4449,high
28948,None,262.27,0.0,0.0,1,Snow,light snow,12/9/2016 9:00,5083,high
3520,None,272.91,0.0,0.0,90,Mist,mist,2/11/2013 14:00,4723,high
28081,None,275.35,0.0,0.0,90,Mist,mist,11/15/2016 0:00,492,very low
28024,None,283.75,0.0,0.0,1,Clear,sky is clear,11/12/2016 17:00,4266,medium
24549,None,298.93,0.0,0.0,40,Clouds,scattered clouds,6/29/2016 16:00,5964,very high
38679,None,278.75,0.0,0.0,90,Mist,mist,11/5/2017 2:00,361,very low
23965,None,297.5,0.0,0.0,40,Clouds,scattered clouds,6/5/2016 12:00,4798,high
48161,None,275.43,0.0,0.0,75,Clouds,broken clouds,9/29/2018 8:00,3073,medium
44993,None,298.82,0.0,0.0,1,Clear,sky is clear,6/16/2018 0:00,1386,very low
45113,None,292.08,0.0,0.0,90,Mist,mist,6/19/2018 5:00,3038,medium
6523,None,294.27,0.0,0.0,90,Clouds,overcast clouds,5/30/2013 12:00,4933,high
32442,None,270.46,0.0,0.0,1,Clear,sky is clear,4/7/2017 6:00,5386,high
44302,None,293.95,0.0,0.0,40,Clouds,scattered clouds,5/22/2018 21:00,3047,medium
7479,None,302.67,0.0,0.0,8,Clear,sky is clear,7/6/2013 19:00,2982,medium
31249,None,272.95,0.0,0.0,90,Clouds,overcast clouds,2/23/2017 17:00,6257,very high
44659,None,292.43,0.0,0.0,40,Clouds,scattered clouds,6/3/2018 16:00,4547,high
14287,None,282.61,0.25,0.0,90,Rain,light rain,5/13/2014 0:00,542,very low
3691,None,262.45,0.0,0.0,20,Clouds,few clouds,2/17/2013 18:00,3830,medium
43464,None,281.29,0.0,0.0,90,Clouds,overcast clouds,4/20/2018 20:00,3552,medium
39087,None,265.79,0.0,0.0,1,Clear,sky is clear,11/19/2017 3:00,439,very low
558,None,285.93,0.0,0.0,90,Drizzle,light intensity drizzle,10/24/2012 9:00,5492,high
28628,None,275.02,0.0,0.0,90,Snow,light snow,11/29/2016 5:00,2706,low
18825,None,283.15,0.0,0.0,1,Clear,sky is clear,10/7/2015 0:00,486,very low
45504,None,297.07,0.0,0.0,1,Clear,sky is clear,7/2/2018 10:00,4172,medium
26819,None,287.59,0.0,0.0,92,Rain,light rain,9/23/2016 3:00,358,very low
10166,None,260.69,0.0,0.0,1,Clear,sky is clear,11/27/2013 9:00,5084,high
20466,None,272.59,0.0,0.0,90,Mist,mist,1/7/2016 7:00,6270,very high
9567,None,273.807,0.0,0.0,0,Clear,Sky is Clear,10/19/2013 5:00,854,very low
47130,None,297.48,4.06,0.0,75,Thunderstorm,thunderstorm,8/27/2018 18:00,3629,medium
25026,None,288.394,0.0,0.0,44,Clouds,scattered clouds,7/18/2016 0:00,732,very low
11862,None,269.45,0.25,0.0,75,Rain,light rain,1/29/2014 15:00,5597,high
12682,None,264.58,0.0,0.0,90,Clouds,overcast clouds,3/4/2014 21:00,2384,low
36589,None,288.41,0.0,0.0,90,Drizzle,drizzle,8/25/2017 10:00,5019,high
35192,None,289.84,0.0,0.0,1,Clear,sky is clear,7/9/2017 4:00,363,very low
2823,None,274.92,0.0,0.0,90,Rain,light rain,1/11/2013 18:00,4476,high
8910,None,278.62,0.0,0.0,1,Clear,sky is clear,9/13/2013 6:00,5753,high
43750,None,284.08,0.0,0.0,90,Mist,mist,5/2/2018 4:00,915,very low
27927,None,284.62,0.0,0.0,1,Clear,sky is clear,11/8/2016 17:00,5444,high
17716,None,294.73,0.0,0.0,1,Clear,sky is clear,8/25/2015 14:00,5476,high
14176,None,286.32,0.0,0.0,75,Clouds,broken clouds,5/9/2014 17:00,6106,very high
3553,None,269.05,0.0,0.0,90,Snow,heavy snow,2/12/2013 8:00,6198,very high
36796,None,286.61,0.0,0.0,1,Haze,haze,8/31/2017 23:00,1576,low
35536,None,292.51,0.0,0.0,1,Fog,fog,7/21/2017 2:00,333,very low
188,None,282.05,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 14:00,5227,high
32738,None,292.83,0.0,0.0,90,Thunderstorm,thunderstorm,4/15/2017 18:00,4143,medium
28670,None,274.82,0.0,0.0,90,Rain,light rain,11/30/2016 5:00,2661,low
17028,None,301.6,0.0,0.0,36,Clouds,scattered clouds,8/1/2015 14:00,3623,medium
35073,None,302.09,0.0,0.0,1,Clear,sky is clear,7/4/2017 16:00,3350,medium
44430,None,303.42,0.0,0.0,1,Rain,light rain,5/27/2018 13:00,4139,medium
39577,None,263.61,0.0,0.0,75,Clouds,broken clouds,12/7/2017 12:00,4981,high
12124,None,258.14,0.0,0.0,1,Clear,sky is clear,2/9/2014 13:00,4072,medium
40337,None,252.72,0.0,0.0,1,Clear,sky is clear,1/4/2018 5:00,2757,low
44208,None,289.35,0.0,0.0,1,Clear,sky is clear,5/19/2018 5:00,806,very low
38402,None,273.86,0.0,0.0,90,Mist,mist,10/27/2017 14:00,5120,high
7389,None,292.61,0.0,0.0,1,Clear,sky is clear,7/2/2013 22:00,2090,low
3864,None,269.02,0.0,0.0,75,Clouds,broken clouds,2/24/2013 18:00,3509,medium
2143,None,266.79,0.0,0.0,90,Clouds,overcast clouds,12/17/2012 23:00,966,very low
5281,None,273.36,0.0,0.0,90,Snow,heavy snow,4/19/2013 11:00,4228,medium
25794,None,291.62,0.0,0.0,0,Clear,Sky is Clear,8/17/2016 8:00,5853,very high
17049,None,298.95,0.0,0.0,1,Clear,sky is clear,8/2/2015 11:00,3959,medium
6167,None,287.15,0.0,0.0,90,Thunderstorm,thunderstorm with heavy rain,5/19/2013 10:00,3591,medium
42703,None,272.86,0.0,0.0,1,Mist,mist,3/28/2018 4:00,859,very low
26240,None,294.55,0.0,0.0,40,Clouds,scattered clouds,9/1/2016 19:00,3250,medium
37396,None,302.15,0.0,0.0,1,Clear,sky is clear,9/23/2017 18:00,4529,high
29283,None,267.21,0.0,0.0,5,Haze,haze,12/19/2016 14:00,5087,high
32005,None,276.15,0.0,0.0,90,Mist,mist,3/24/2017 4:00,818,very low
30053,None,256.16,0.0,0.0,1,Mist,mist,1/15/2017 1:00,962,very low
8656,None,300.11,0.0,0.0,0,Clear,Sky is Clear,8/25/2013 22:00,2002,low
26561,None,294.88,0.0,0.0,75,Rain,light rain,9/12/2016 18:00,4130,medium
32150,None,274.84,0.0,0.0,1,Clear,sky is clear,3/28/2017 2:00,310,very low
48035,None,296.0,0.0,0.0,40,Clouds,scattered clouds,9/24/2018 14:00,4816,high
44005,None,283.94,0.0,0.0,90,Mist,mist,5/11/2018 18:00,5138,high
21743,None,282.15,0.0,0.0,1,Drizzle,light intensity drizzle,3/13/2016 4:00,451,very low
10541,None,259.09,0.0,0.0,64,Mist,mist,12/9/2013 3:00,307,very low
42793,None,269.93,0.0,0.0,90,Snow,light snow,3/31/2018 8:00,2289,low
35131,None,304.49,0.0,0.0,40,Clouds,scattered clouds,7/6/2017 19:00,3434,medium
25891,None,286.63,0.0,0.0,1,Clear,sky is clear,8/21/2016 4:00,435,very low
18748,None,277.63,0.0,0.0,1,Clear,sky is clear,10/3/2015 7:00,2261,low
36109,None,291.29,0.0,0.0,90,Thunderstorm,thunderstorm,8/10/2017 0:00,622,very low
46183,None,292.22,0.0,0.0,75,Drizzle,light intensity drizzle,7/26/2018 14:00,5264,high
16985,None,301.13,0.0,0.0,1,Clear,sky is clear,7/30/2015 18:00,4932,high
44262,None,287.75,0.0,0.0,75,Drizzle,light intensity drizzle,5/21/2018 8:00,5726,high
28209,None,273.84,0.0,0.0,90,Fog,fog,11/18/2016 16:00,5074,high
17035,None,298.33,0.0,0.0,1,Clear,sky is clear,8/1/2015 21:00,2646,low
15754,None,297.23,0.0,0.0,90,Clouds,overcast clouds,7/25/2014 21:00,2896,low
42785,None,272.72,0.0,0.0,90,Mist,mist,3/31/2018 5:00,588,very low
23561,None,295.25,0.0,0.0,90,Rain,proximity shower rain,5/23/2016 11:00,4627,high
18999,None,278.19,0.0,0.0,1,Clear,sky is clear,10/14/2015 0:00,548,very low
15334,None,296.5,0.0,0.0,56,Rain,moderate rain,7/8/2014 16:00,6705,very high
12640,None,252.77,0.0,0.0,1,Clear,sky is clear,3/2/2014 22:00,1401,very low
25446,None,296.93,0.0,0.0,20,Clouds,few clouds,8/3/2016 0:00,662,very low
11948,None,0.0,0.0,0.0,0,Clear,sky is clear,2/2/2014 5:00,434,very low
27887,None,283.28,0.0,0.0,1,Clear,sky is clear,11/7/2016 1:00,284,very low
19192,None,278.01,0.0,0.0,90,Mist,mist,10/28/2015 12:00,4865,high
9715,None,279.44,0.0,0.0,64,Clouds,broken clouds,11/8/2013 17:00,6245,very high
46270,None,297.09,0.0,0.0,1,Thunderstorm,proximity thunderstorm,7/29/2018 20:00,3344,medium
14502,None,285.45,0.76,0.0,90,Mist,mist,5/20/2014 8:00,6182,very high
13214,None,277.35,0.0,0.0,90,Clouds,overcast clouds,3/27/2014 2:00,237,very low
106,None,275.65,0.0,0.0,90,Clouds,overcast clouds,10/7/2012 4:00,312,very low
2902,None,262.31,0.0,0.0,90,Snow,heavy snow,1/13/2013 14:00,3644,medium
33616,None,300.42,0.0,0.0,40,Clouds,scattered clouds,5/14/2017 19:00,3743,medium
38549,None,274.21,0.0,0.0,90,Mist,mist,11/1/2017 16:00,6321,very high
18583,None,290.0,0.0,0.0,90,Mist,mist,9/25/2015 5:00,2759,low
21544,None,273.58,0.0,0.0,90,Mist,mist,2/28/2016 12:00,4360,medium
15566,None,291.02,0.0,0.0,40,Clouds,scattered clouds,7/17/2014 9:00,5227,high
28930,None,268.49,0.0,0.0,90,Snow,light snow,12/8/2016 15:00,5759,high
29973,None,258.42,0.0,0.0,1,Clear,sky is clear,1/11/2017 19:00,3011,medium
14160,None,287.81,0.25,0.0,90,Mist,mist,5/9/2014 2:00,306,very low
15837,None,290.73,0.25,0.0,1,Rain,light rain,8/1/2014 2:00,380,very low
33136,None,274.29,0.0,0.0,90,Clouds,overcast clouds,4/27/2017 23:00,1671,low
47676,None,294.84,2.54,0.0,90,Rain,moderate rain,9/14/2018 9:00,5025,high
16077,None,295.99,0.0,0.0,40,Clouds,scattered clouds,6/28/2015 11:00,3806,medium
38918,None,277.22,0.0,0.0,90,Mist,mist,11/14/2017 8:00,5841,very high
35450,None,295.95,0.0,0.0,20,Clouds,few clouds,7/18/2017 21:00,2762,low
42238,None,273.0,0.0,0.0,90,Drizzle,light intensity drizzle,3/11/2018 3:00,420,very low
42361,None,275.42,0.0,0.0,5,Clear,sky is clear,3/15/2018 18:00,4771,high
771,None,279.28,0.0,0.0,90,Clouds,overcast clouds,10/30/2012 14:00,5394,high
18058,None,299.48,0.0,0.0,1,Clear,sky is clear,9/7/2015 17:00,3798,medium
40573,None,249.84,0.0,0.0,5,Clear,sky is clear,1/12/2018 7:00,5517,high
45956,None,296.89,0.0,0.0,75,Clouds,broken clouds,7/18/2018 21:00,2949,medium
6252,None,292.82,0.0,0.0,90,Rain,light rain,5/21/2013 14:00,5394,high
6182,None,297.22,0.0,0.0,1,Clear,sky is clear,5/19/2013 21:00,2337,low
1609,None,274.57,0.0,0.0,90,Mist,mist,12/1/2012 13:00,4986,high
873,None,275.93,0.0,0.0,90,Clouds,overcast clouds,11/3/2012 20:00,2777,low
35893,None,289.69,0.0,0.0,90,Rain,light rain,8/3/2017 6:00,5460,high
9756,None,277.44,0.0,0.0,64,Clouds,broken clouds,11/10/2013 12:00,3903,medium
42788,None,271.72,0.0,0.0,90,Snow,snow,3/31/2018 6:00,1045,very low
37047,None,296.86,0.0,0.0,75,Clouds,broken clouds,9/10/2017 14:00,4170,medium
56,None,291.77,0.0,0.0,75,Clouds,broken clouds,10/4/2012 21:00,2822,low
20751,None,267.79,0.0,0.0,90,Mist,mist,1/21/2016 12:00,4906,high
29631,None,270.89,0.0,0.0,90,Snow,light snow,12/31/2016 5:00,499,very low
15429,None,294.51,0.0,0.0,80,Fog,fog,7/12/2014 3:00,518,very low
